
ジャッキーチェン日本語吹き替えVer.石丸博也,じゃっきーちぇーんのにほんごふきかえばーじょんのいしまるひろやのこえ,190,255,1
奇面組の冷越豪,きめんぐみのれいえつごうのかお,255,279,1
糞おもんない次世代マシンセガサターンを顔で表現,くそおもんないじせだいましんせがさたーんをかおでひょうげん,279,671,1
バービーボーイズ√5のアルバムのコンタの立ち方,ばーびーぼーいずるーと5のあるばむのこんたのたちかた,311,334,1
バービーボーイズ√5のアルバムのいまさの顔,ばーびーぼーいずるーと5のあるばむのいまさのかお,334,400,1
Uインターのヤマケン,ゆーいんたーのやまけん,400,183,1
ザ・グレート・カブキの渾身のアピール,ざぐれーとかぶきのこんしんのあぴーる,483,526,1
ザ・グレート・カブキのラリアットの時の声,ざぐれーとかぶきのらりあっとのときのこえ,526,544,1
Mrポーゴの有刺鉄線バットが当たった時のリアクション,みすたーぽーごのゆうしてっせんばっとがあたったときのりあくしょん,0,40,2
生でダラダラいかせての福沢朗,なまでだらだらいかせてのふくざわあきら,40,58,2
寝起き時のアントニオ猪木(目が三角形Ver.),ねおきじのあんとにおいのき(めがさんかくけいばーじょん),58,109,2
自宅のチャラ,じたくのちゃら,109,124,2
BIOHAZARDのタイトル面の声,BIOHAZARDのたいとるめんのこえ,124,148,2
BIOHAZARD4の狂った村人,BIOHAZARD4のくるったむらびと,148,192,2
ストリートファイターⅡのケンの死ぬとこ,すとりーとふぁいたー2のけんのしぬとこ,192,229,2
ファミコン スパルタンＸの死ぬとこ,ふぁみこんすぱるたんえっくすのしぬとこ,229,266,2
ファミコン 忍者ハットリ君の死ぬとこ,ふぁみこんにんじゃはっとりくんのしぬとこ,266,311,2
ファミコン 魔界村の死ぬとこ,ふぁみこんまかいむらのしぬとこ,311,340,2
ファミコン がんばれゴエモンの敵キャラ「御用だ!!」の死ぬとこ,ふぁみこんがんばれごえもんのてききゃら「ごようだ!!」のしぬとこ,340,371,2
ファミコン ファミスタのフライからのアウト,ふぁみこんふぁみすたのふらいからのあうと,371,384,2
ブラザー・コーンのマイクの持ち方,ぶらざーこーんのまいくのもちかた,384,403,2
松尾伴内のやる武田鉄也,まつおばんないのやるたけだてつや,403,417,2
古畑任三郎のコーヒー飲むとこ,ふるはたにんざぶろうのこーひーのむとこ,417,431,2
K1正道会館のセコンドの掛け声,けーわんせいどうかいかんのせこんどのかけごえ,431,473,2
JOJO第三部のDIOの初登場のシーン,じょじょだいさんぶのでぃおのはつとうじょうのしーん,473,521,2
ライガーボム,らいがーぼむ,521,540,2
アニメキン肉マンのＣＭにいくブリッジ,あにめきんにくまんのしーえむにいくぶりっじ,0,13,3
兜こうじが初めてマジンガーＺに乗ったが操縦ができなくてうまく走れない様,かぶとこうじがはじめてまじんがーぜっとにのったがそうじゅうができなくてうまくはしれないさま,13,49,3
アラレちゃんのぶた,あられちゃんのぶた,49,58,3
冬木弘道の楽屋でのアピール,ふゆきひろみちのがくやでのあぴーる,58,79,3
高田延彦の試合前テンション上げてるとこ,たかだのぶひこのしあいまえてんしょんあげてるとこ,79,97,3
佐々木健介の罵声,ささきけんすけのばせい,97,115,3
武藤敬司の札を上げるとこ,むとうけいじのふだをあげるとこ,115,138,3
WAR石川孝司の相撲がぬけきれないサソリ固め,うぉーいしかわこうつかさのすもうがぬけきれないさそりがため,138,171,3
業界人のあいさつの仕方,ぎょうかいじんのあいさつのしかた,171,185,3
欽ちゃんの仮装大賞の効果音,きんちゃんのかそうたいしょうのこうかおん,185,222,3
少林寺木人拳の和尚の死ぬとこ,しょうりんじもくじんけんのおしょうのしぬとこ,222,266,3
誇張しすぎたビートたけし,こちょうしすぎたびーとたけし,266,278,3
映画パルプフィクションのボス,えいがぱるぷふぃくしょんのぼす,278,289,3
Ｆ１レーサー鈴木あくりのリタイアのいいわけ,えふわんれーさーすずきあくりのりたいあのいいわけ,289,304,3
初代タイガーマスク佐山聡の覆面をつけてこなかった時の言い訳,しょだいたいがーますくさやまさとしのふくめんをつけてこなかったときのいいわけ,304,372,3
忍者ハットリ君のへそくりを出すところ,にんじゃはっとりくんのへそくりをだすところ,372,408,3
武田鉄也の思えば遠くにきたもんだの時のジョギングシーンのアドリブ,たけだてつやのおもえばとおくにきたもんだのときのじょぎんぐしーんのあどりぶ,408,426,3
ぴー子のものまね審査員時のリアクション,ぴーこのものまねしんさいんじのりあくしょん,426,442,3
アニメサムライジャイアンツのカネヤン,あにめさむらいじゃいあんつのかねやん,442,461,3
映画酔拳のライバル道場おやじの出ばやし,えいがすいけんのらいばるみちばおやじのでばやし,461,500,3
当時の武田信玄,とうじのたけだしんげん,500,514,3
三沢光時のフェイスロック時の顔,みつさわみつときのふぇいすろっくじのかお,514,520,3
キャプテン青葉の監督,きゃぷてんあおばのかんとく,520,538,3
ガンダム黒い三連星のオルテガ,がんだむくろいさんれんせいのおるてが,538,570,3
赤いプルトニウム,あかいぷるとにうむ,130,183,4
砂漠の太陽のまね,さばくのたいようのまね,183,220,4
消臭力のＣＭ,しょうしゅうりきのしーえむ,220,243,4
くまだまさしの謝り方,くまだまさしのあやまりかた,243,281,4
オテンキの江波戸,おてんきのえばと,281,322,4
ＪＩＮの坂本龍馬,じんのさかもとりょうま,322,348,4
Mステのタモリのゲストと会話しているとき,えむすてのたもりのげすととかいわしているとき,348,397,4
スティーブ・オースティンにスタナーをやられふっとぶスコット・ホール,すてぃーぶおーすてぃんにすたなーをやられふっとぶすこっとほーる,397,422,4
スティーブ・オースティンにスタナーをやられふっとぶザ・ロック,すてぃーぶおーすてぃんにすたなーをやられふっとぶざろっく,422,437,4
ファミコン フロントラインの歩き方,ふぁみこんふろんとらいんのあるきかた,437,471,4
ジャック・バウアーの警戒した部屋の入り,じゃっくばうあーのけいかいしたへやのはいり,471,498,4
ジャック・バウアーのくやしがり方,じゃっくばうあーのくやしがりかた,498,508,4
あぶない刑事の走り方,あぶないけいじのはしりかた,508,543,4
あしたのジョーのマンモス西,あしたのじょーのまんもすにし,543,552,4
布袋寅奉,ほていともやす,552,568,4
BE-BOP加藤ヒロシのどけや!,BE-BOPかとうひろしのどけや!,6,28,5
BE-BOP仲間トオルのボンタン狩られた時,BE-BOPなかまとおるのぼんたんかられたとき,28,45,5
BE-BOP中学生リョウ,BE-BOPちゅうがくせいりょう,45,54,5
ストリートファイターⅡのベガの頭の上に立つ技,すとりーとふぁいたー2のべがのあたまのうえにたつわざ,54,87,5
WWERAWのリックフレアーの手もみ,WWEろうのりっくふれあーのてもみ,87,117,5
つけ麺店主のタオルの巻き方,つけめんてんしゅのたおるのまきかた,117,141,5
ジェット・リーのゆれ,じぇっとりーのゆれ,141,157,5
ピー子のイケメンが出てきた時,ぴーこのいけめんがでてきたとき,157,166,5
流星のサドルの間奏の時の久保田俊信,りゅうせいのさどるのかんそうのときのくぼたとしのぶ,166,189,5
もしも憂歌団がAMEMIYAの冷し中華を歌ったら…,もしもゆうかだんがあめみやのひやしちゅうかをうたったら…,189,201,5
かんじんな所で噛むディック東郷,かんじんなところでかむでぃっくとうごう,201,215,5
新幹線の車掌の切符拝見,しんかんせんのしゃしょうのきっぷはいけん,215,238,5
文珍師匠の威張りすぎの歩き方,ぶんちんししょうのいばりすぎのあるきかた,238,255,5
長時間立ちっぱなしの警備員,ちょうじかんたちっぱなしのけいびいん,255,267,5
ファミコン スーパーチャイニーズの死ぬとこ,ふぁみこんすーぱーちゃいにーずのしぬとこ,267,278,5
バードマン(パーマン)のコケ方,ばーどまん(ぱーまん)のこけかた,51,90,6
PSP起動音を顔で表現,ぴーえすぴーきどうおんをかおでひょうげん,90,118,6
アニマル浜口,あにまるはまぐち,118,153,6
佐々木健介の外人かぶれのださいインタビュー＆馳浩,ささきけんすけのがいじんかぶれのださいいんたびゅー＆はせひろし,153,227,6
ホラーっぽいこわい音,ほらーっぽいこわいおと,227,244,6
矢沢栄吉のサンバリンズナイ,やざわえいきちのさんばりんずない,244,268,6
マイク・タイソンのサントリーDRYのCM,まいくたいそんのさんとりーどらいのしーえむ,268,288,6
爆笑Booing(ローカル番組)に出演した時のカウス師匠,ばくしょうBooing(ろーかるばんぐみ)にしゅつえんしたときのかうすししょう,288,363,6
あしたのジョーの力石徹,あしたのじょーのりきいしとおる,363,418,6
ありがちな落語のでばやし,ありがちならくごのでばやし,418,431,6
川田利明のストレッチプラム,かわたとしあきのすとれっちぷらむ,431,457,6
ケミストリー川畑の音程とらないと歌えない感じ,けみすとりーかわばたのおんていとらないとうたえないかんじ,457,486,6
長州力,ちょうしゅうりき,486,516,6
エスパー魔美のテレポーテーション,えすぱーまみのてれぽーてーしょん,516,532,6
スタン・ハンセンの左腕攻められた時の痛がり方,すたんはんせんのひだりうでせめられたときのいたがりかた,532,552,6
スーパージャンピングライガーボム(テンションMAXVer.),すーぱーじゃんぴんぐらいがーぼむ(てんしょんまっくすばーじょん),6,37,7
ジャンボ鶴田の試合後のアピール,じゃんぼつるたのしあいごのあぴーる,37,66,7
BIOHAZARD5の司令官マジン,BIOHAZARD5のしれいかんまじん,66,110,7
ジャックバウアーの電話のとり方,じゃっくばうあーのでんわのとりかた,110,118,7
ザ・グレート・カブキの平成維新軍入りした時の記者会見,ざぐれーとかぶきのへいせいいしんぐんいりしたときのきしゃかいけん,118,148,7
メタルギア・ソリッド スネークの歩き方＆敵兵士＆ＡＩ兵器,めたるぎあそりっどすねーくのあるきかた＆てきへいし＆えーあいへいき,148,214,7
NOFEARのカメラマンに意地悪された時のアピール,NOFEARのかめらまんにいじわるされたときのあぴーる,214,240,7
